Ant SPW POL Freq  SNR  UID
DA61 31 X 219.309 18.8 uid___A002_Xe37224_Xb141
DA63 31 Y 219.309 15.6 uid___A002_Xe37224_Xb141
DV15 31 X 219.309  9.1 uid___A002_Xe37224_Xb141
DA61 31 X 219.309 18.7 uid___A002_Xe44309_X7dd7
DA63 31 Y 219.309 18.3 uid___A002_Xe44309_X7dd7
DV15 31 X 219.309  5.3 uid___A002_Xe44309_X7dd7
DA61 31 X 219.267 27.3 uid___A002_Xe44309_X7f66
DA63 31 Y 219.267  7.4 uid___A002_Xe44309_X7f66
DV15 31 X 219.267  6.9 uid___A002_Xe44309_X7f66
DV15 25 Y 231.988  5.5 uid___A002_Xe64b7b_X1c835
DA61 31 X 219.313 12.1 uid___A002_Xe64b7b_X1c835
DA61 31 X 219.315  8.7 uid___A002_Xe220f2_X59b6
DA61 31 X 219.312  8.5 uid___A002_Xe2ada9_X18d45
DV25 31 X 220.538  5.0 uid___A002_Xe407cf_X15962
DV01 25 X 229.129 13.3 uid___A002_Xe1baa0_X729
DV01 25 X 229.131 15.4 uid___A002_Xe1f219_X5617
DV01 25 X 229.132 18.0 uid___A002_Xe20b32_X46d4
DV01 25 X 228.633 11.3 uid___A002_Xe3a5fd_X8e56
DV01 25 X 228.626 11.6 uid___A002_Xe1baa0_X8663
DV01 25 X 233.183  5.7 uid___A002_Xdedf59_X14a
DV01 25 X 233.182  6.9 uid___A002_Xdedf59_X7f6
DA56 27 X 215.499  5.9 uid___A002_Xd44a99_X6e19
DA43 27 Y 262.102  9.5 uid___A002_Xe03886_X13aa
DA43 27 Y 262.103  9.6 uid___A002_Xe07f3e_X5a75
DA43 27 Y 262.103 46.2 uid___A002_Xe07f3e_Xbd12
DV07 27 X 262.103 11.1 uid___A002_Xe07f3e_Xbd12
DV01 27 X 262.040  8.1 uid___A002_Xe07f3e_Xbd12
DV07 27 X 262.040 30.2 uid___A002_Xe07f3e_Xbd12
DA58 31 X 251.350 11.5 uid___A002_Xe07f3e_Xbd12
DA43 27 Y 262.104 29.6 uid___A002_Xe0e4ca_X3d31
DV07 27 X 262.041 14.1 uid___A002_Xe0e4ca_X3d31
DA45 33 Y 258.903 17.4 uid___A002_Xd636e9_X88c8
DV10 35 Y 261.140  5.2 uid___A002_Xd636e9_X88c8
DA51 25 X 241.935  6.0 uid___A002_Xd636e9_X88c8
DV01 31 X 244.300 24.7 uid___A002_Xd636e9_X88c8
DA45 33 Y 258.903 12.7 uid___A002_Xd636e9_X8e67
DA54 25 Y 241.935  5.1 uid___A002_Xd636e9_X8e67
DV01 31 X 244.300 17.5 uid___A002_Xd636e9_X8e67
DV25 31 Y 244.300  5.4 uid___A002_Xd636e9_X8e67
DV10 49 Y 245.320  7.1 uid___A002_Xd41a7b_X27ec
DA60 49 Y 245.319  5.9 uid___A002_Xd44a99_X2fc1
DA51 31 X 226.861 23.7 uid___A002_Xd44a99_X2fc1
DA60 49 Y 245.319  5.8 uid___A002_Xd44a99_X37ee
DV10 49 Y 245.319  8.9 uid___A002_Xd44a99_X37ee
DA60 49 Y 245.319  5.4 uid___A002_Xd44a99_X43f8
DV10 49 Y 245.319  5.7 uid___A002_Xd44a99_X43f8
DA60 49 Y 245.319  6.6 uid___A002_Xd44a99_X1256d
DV10 49 Y 245.319  5.3 uid___A002_Xd44a99_X1256d
DV10 49 Y 245.318  6.0 uid___A002_Xd44a99_X12f14
DV10 49 Y 245.318  5.7 uid___A002_Xd44a99_X137d9
DA51 31 X 226.860 22.2 uid___A002_Xd476cc_X3ea3
DA60 49 Y 245.318  5.1 uid___A002_Xd476cc_X47e4
DA51 31 X 226.860 13.2 uid___A002_Xd476cc_X47e4
PM01 29 X 226.596  6.4 uid___A002_Xe16acd_X4da0
DA65 25 Y 228.118  8.7 uid___A002_Xde0eb4_Xf5
DV01 25 X 228.105 17.6 uid___A002_Xde0eb4_Xf5
DV01 25 X 228.105 13.4 uid___A002_Xde8105_X5da5
DA65 25 Y 228.118  9.0 uid___A002_Xde8105_X65a5
DV01 25 X 228.105 17.8 uid___A002_Xde8105_X65a5
DA65 25 Y 228.118  8.2 uid___A002_Xde8105_X6c81
DV01 25 X 228.105 19.9 uid___A002_Xde8105_X6c81
DA51 25 X 216.762  9.8 uid___A002_Xe1142b_X976a
DV07 25 X 217.076  7.1 uid___A002_Xe02ab0_X4d37
DV01 25 X 230.648 20.2 uid___A002_Xdd3de2_X3c04
DV05 29 X 217.339  5.5 uid___A002_Xdd3de2_X3c04
DV01 25 X 230.647  5.1 uid___A002_Xdda2c6_X2624
DV07 29 Y 217.146  5.1 uid___A002_Xdda2c6_X2624
DA56 33 X 222.080  7.9 uid___A002_Xde8105_X8ced
DA49 33 X 222.063  5.5 uid___A002_Xde9c3e_X108c
DV01 25 X 227.670  5.8 uid___A002_Xe03886_X1e4
DA65 25 Y 227.727  5.3 uid___A002_Xe03886_X41e
DV01 25 X 227.670  6.6 uid___A002_Xe03886_X41e
DA42 25 X 228.214  5.0 uid___A002_Xe03886_X5518
DA49 35 Y 247.080  9.3 uid___A002_Xd66bb8_Xb589
DA63 35 X 247.080  6.2 uid___A002_Xd66bb8_Xb589
DA49 35 Y 247.080  9.1 uid___A002_Xd66bb8_Xbea7
DA63 35 X 247.080  6.2 uid___A002_Xd66bb8_Xbea7
DA49 35 Y 247.080 11.3 uid___A002_Xd66bb8_Xc6e2
DA63 35 X 247.080  8.4 uid___A002_Xd66bb8_Xc6e2
DA49 35 Y 247.080  9.0 uid___A002_Xd66bb8_Xcea9
DA63 35 X 247.080  5.9 uid___A002_Xd66bb8_Xcea9
DA49 35 Y 246.332  6.0 uid___A002_Xd66bb8_X1780
DA49 35 Y 246.332  7.8 uid___A002_Xd66bb8_X223b
DA63 35 X 246.332  5.4 uid___A002_Xd66bb8_X223b
DA49 35 Y 246.331  5.5 uid___A002_Xd66bb8_X2b23
DA49 35 Y 246.331  6.6 uid___A002_Xd66bb8_X34b0
DA49 35 Y 246.333  6.3 uid___A002_Xd64dca_X11d3
DA63 35 X 246.333  7.4 uid___A002_Xd64dca_X11d3
DA49 35 Y 246.333  9.4 uid___A002_Xd64dca_X1991
DA63 35 X 246.333  6.7 uid___A002_Xd64dca_X1991
DA49 35 Y 246.333  6.2 uid___A002_Xd64dca_X23b0
DA63 35 X 246.333  5.2 uid___A002_Xd64dca_X23b0
DA49 35 Y 246.333  8.0 uid___A002_Xd64dca_X2d22
DA63 35 X 246.333  5.2 uid___A002_Xd64dca_X2d22
DV01 25 X 237.204 12.9 uid___A002_Xdeb725_X14bc
DA65 25 Y 231.033  6.1 uid___A002_Xde0eb4_Xd43
DA65 25 Y 231.040  7.4 uid___A002_Xdd3de2_X1c59
